현재 판매가격(주유소),,,,,,,,,
기준일자 : 20221028,,,,,,,,,(단위 : 원/리터)
,,,,,,,,,
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유
A0000035,서울 종로구,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),현대오일뱅크,일반,2120,1799,2039,0
A0000045,서울 종로구,SK북악주유소,서울 종로구 평창문화로 137,SK에너지,일반,2398,2198,2388,0
A0000047,서울 종로구,경복궁주유소,서울 종로구 율곡로 6 (중학동),GS칼텍스,일반,2500,2280,2390,0
A0000064,서울 종로구,안풍주유소,서울 종로구 자하문로 303,S-OIL,일반,2089,1799,1999,0
A0000069,서울 종로구,자하문주유소,서울 종로구 자하문로 248 (부암동),SK에너지,셀프,2089,1799,1999,0
A0002211,서울 종로구,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),S-OIL,일반,2080,1830,2050,1750
A0009433,서울 종로구,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,SK에너지,일반,2497,2297,2397,1800
A0010027,서울 종로구,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),GS칼텍스,일반,2495,2290,2395,1800
A0000767,서울 중구,서남주유소,서울 중구 통일로 30,SK에너지,일반,3035,2635,2991,2501
A0006093,서울 중구,다산주유소,서울 중구 다산로 233,S-OIL,셀프,1919,1699,1839,1700
A0009047,서울 중구,필동주유소,서울 중구 퇴계로 196 (필동2가),GS칼텍스,일반,2649,2429,2669,2129
A0009071,서울 중구,현대오일뱅크 장원주유소,서울 중구 동호로 203 (신당동),현대오일뱅크,일반,2053,1833,1998,1650
A0009073,서울 중구,장충드림주유소,서울 중구 동호로 296,S-OIL,셀프,0,1735,1895,0
A0009076,서울 중구,세화주유소,서울 중구 왕십리로 403,알뜰주유소,일반,0,1768,1898,1700
A0009096,서울 중구,신당동주유소,서울 중구 다산로 242 (신당동),SK에너지,일반,2298,2098,2398,1890
A0009097,서울 중구,약수주유소,서울 중구 다산로 173,GS칼텍스,일반,2456,2197,2448,0
A0009100,서울 중구,SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),SK에너지,일반,2010,1850,2111,0
A0009101,서울 중구,장충주유소,서울 중구 장충단로 202 (장충동1가),SK에너지,일반,2298,2048,2168,0
A0009143,서울 동대문구,배봉로주유소,서울 동대문구 서울시립대로 108,현대오일뱅크,셀프,0,1695,1885,0
A0009172,서울 동대문구,풍한주유소,서울 동대문구 안암로 168,SK에너지,일반,0,1615,1815,0
A0009173,서울 동대문구,재정주유소,서울 동대문구 전농로 121 (전농동),현대오일뱅크,셀프,1929,1659,1839,0
A0009177,서울 동대문구,홍능주유소,서울 동대문구 홍릉로 87 (청량리동),S-OIL,일반,0,1685,1885,1700
A0009182,서울 동대문구,(주)경동주유소,서울 동대문구 이문로 191 (이문동),S-OIL,셀프,0,1625,1845,1650
A0009195,서울 동대문구,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),현대오일뱅크,일반,1998,1677,1845,0
